quote,author,source
"“Life is like the oil within a lamp. It can be measured, but the pace at which it burns depends on how the dial is turned day by day, how bright and fierce the flame. And there is no predicting whether the lamp might be knocked to the ground and shatter, when it could have blazed on a great while longer. Such is the unpredictability of life.”",Margaret Rogerson,Sorcery of Thorns
"“Oh, why does compassion weaken us?'",Robin McKinley,Spindle's End
“One picture puzzle piece,Shel Silverstein,
"“Love is a chemical reaction,",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
"“If everyone is a product of this society, who will say the things that need to be said, and do the things that need to be done, without compromise? Truth will never start out popular in a world more concerned with marketability than righteousness. It will initially suffer ridicule and even violence- yet ultimately it is undeniable. All of humanity is living in a dream world, but suffering real consequences.”",Lauryn Hill,
"“A sin is nothing more than regret. Not for doing it once, but doing it again when you know you’re going to regret it.”",Carroll Bryant,
"“This is the Modern Man. The man who seeks himself without ever seeking, because he does not want to find;",Cristiane Serruya,The Modern Man: A philosophical divagation about the evil banality of daily acts
"“Ain't no sense worryin' about the things you got control over, 'cause if you got control over 'em, ain't no sense worryin'. And ain't no sense worryin' about the things you don't got control over, 'cause if you don't got control over 'em, ain't no sense worryin'.”",Mickey Rivers,
“The statement ‘There is nothing more American than an Indian’ happens to be a multidimensional paradox. Try and not say too many of those. That might open your mind to ideas that could cause sanity point loss.”,Charles Slagle,
"“The human body resonates at the same frequency as Mother Earth. So instead of only focusing on trying to save the earth, which operates in congruence to our vibrations, I think it is more important to be one with each other. If you really want to remedy the earth, we have to mend mankind. And to unite mankind, we heal the Earth. That is the only way. Mother Earth will exist with or without us. Yet if she is sick, it is because mankind is sick and separated. And if our vibrations are bad, she reacts to it, as do all living creatures.”",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
"“War means fighting. The business of the soldier is to fight. Armies are not called out to dig trenches, to throw up breastworks, to live in camps, but to find the enemy and strike him; to invade his country, and do him all possible damage in the shortest possible time. This will involve great destruction of life and property while it lasts; but such a war will of necessity be of brief continuance, and so would be an economy of life and property in the end.”",Stonewall Jackson,
“One word can change your life forever.,Alan Macmillan Orr,The Natural Mind - Waking Up: Volume I
"“Our actions are guaranteed to affect others. Because we are not alone in this world, much of our learning about ourselves comes from our interaction with others. Our relationships are our teachers. We learn from each other.”",Dr. Tae Yun Kim,Seven Steps to Inner Power
“Laughter is the hand of God on the shoulder of a troubled world.”,Grady Nutt,
"“When you use your energy and resources to punish people, you run out of energy and resources to protect people.”",Kelly Bryson,"Don't Be Nice, Be Real: Balancing Passion for Self with Compassion for Others"
"“I will not join the rat race because I'm not a rat. And I will not blindly follow a specific faith because I'm not a bat. The only race I'll take part in is for humans being humane. It's called the human race, and sadly it's got the least participants.”",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
"“A piece of art comes to life, when we can feel, it is breathing, when it talks to us and starts raising questions. It may dispel biased perceptions; make us recognize ignored fragments and remember forsaken episodes of our life story. Art may sometimes even be nasty and disturbing, if we don’t want to consent to its philosophy or concept, but it might, in the end, perhaps reconcile us with ourselves. (""When is Art?"")”",Erik Pevernagie,
"“Life is a useless passion, an exciting journey of a mammal in survival mode. Each day is a miracle, a blessing unexplored and the more you immerse yourself in light, the less you will feel the darkness. There is more to life than nothingness. And cynicism. And nihilism. And selfishness. And glorious isolation. Be selfish with yourself, but live your life through your immortal acts, acts that engrain your legacy onto humanity. Transcend your fears and follow yourself into the void instead of letting yourself get eaten up by entropy and decay. Freedom is being yourself without permission. Be soft and leave a lasting impression on everybody you meet”",Mohadesa Najumi,
“Study yourself. Become your own mentor and best friend. When you are suffering stay at the bottom until you find out who you are. Let the storms come and pass. How you walk through the fire says a lot about you. Nobody likes a victimhood mentality and what happened to you is not important. It is about how you use your chaos that matters. The dawn will come”,Mohadesa Najumi,
“I was transformed the day,Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
"“But by the grace of God I am what I am: and his grace which was bestowed upon me was not in vain; but i laboured more abundantly than they all: yet not I, but the grace of God which was with me.”",Anonymous,Holy Bible: King James Version
"“Listen."" Jennifer reverted, ""I didn't mean anything by all of that before. I understand what you were trying to do and ..."" She struggled for the right words. ""Sweetie, like love, people don't live inside of life, life lives inside of you. Open yourself up to it and there's no stopping your heart.”",Carroll Bryant,Children of the Flower Power
"“Always ask the questions you want to, life is too short to know if you'll get a second chance to ask , and afterlife is probably too long to wonder what the answer may be.”",Kaitlin Hollon,
“Vulnerability is the least celebrated emotion in our society”,Mohadesa Najumi,
"“Question the answers, I repeated every class. Reevaluate your conclusions when the evidence changes.”",Craig M. Mullaney,The Unforgiving Minute: A Soldier's Education
"“This is the best thing to wear for today, you understand. Because I don't like women in skirts and the best thing is to wear pantyhose or some pants under a short skirt, I think. Then you have the pants under the skirt and then you can pull the stockings up over the pants underneath the skirt. And you can always take off the skirt and use it as a cape. So I think this is the best costume for today.”",Edith Bouvier Beale,
"“Because lies outpace the truth, sooner or later you will trip up on your own tongue.”",Anthnoy T.Hincks,
"“You are not just for the right or left, but for what is right over the wrong.”",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
"“We love ourselves notwithstanding our faults, and we ought to love our friends in like manner.”",Cyrus the Great,
"“The awful thing is that if i can forget they're people, it will be no different at all”",suzanne collins,
"“It is culture that is the bully.""",Sharon Lee and Steve Miller,
"“As a rule, we don't like to feel to sad or lonely or depressed. So why do we like music (or books or movies) that evoke in us those same negative emotions? Why do we choose to experience in art the very feelings we avoid in real life?",Brandon W. Forbes,Radiohead and Philosophy: Fitter Happier More Deductive
"“If the sum of living be love's fee,",Laura Benet,
"“Think of me as an impetuous Hegel, drunk with power, and also, regular drunk.”",Eugene Mirman,The Will to Whatevs: A Guide to Modern Life
