quote,author,source
“The sun symbolizes the Divine intelligence; the empty vastness of space symbolizes the Divine All-Possibility and also the Divine immutability; a bird symbolizes the soul; a tree symbolizes the grades of being; and water symbolizes knowledge and rain revelation.”,Osman Bakar,Tawhid and Science
"“Life is an essay you yourself have to write, start to finish.”",Mo,
"“God is not a celestial prison warden jangling the keys on a bunch of lifers--he's a shepherd seeking for sheep, a woman searching for coins, a father waiting for his son.”",Clarence Jordan,The Substance of Faith: And Other Cotton Patch Sermons
“Fear is the polio of the soul which prevents our walking by faith.”,Clarence Jordan,The Substance of Faith: And Other Cotton Patch Sermons
"“Standing in the middle between the idea of an event and the actual event, a strange kind of physical reality just in the middle between possibility and reality.”",Heisenberg,
"“If we look through the aperture which we have opened up onto the absolute, what we see there is a rather menacing power--something insensible, and capable of destroying both things and worlds, of bringing forth monstrous absurdities, yet also of never doing anything, of realizing every dream, but also every nightmare, of engendering random and frenetic transformations, or conversely, of producing a universe that remains motionless down to its ultimate recesses, like a cloud bearing the fiercest storms, then the eeriest bright spells, if only for an interval of disquieting calm. We see an omnipotence equal to that of the Cartesian God, and capable of anything, even the inconceivable; but an omnipotence that has become autonomous, without norms, blind, devoid of the other divine perfections, a power with neither goodness nor wisdom, ill-disposed to reassure thought about the veracity of its distinct ideas. We see something akin to Time, but a Time that is inconceivable for physics, since it is capable of destroying without cause or reason, every physical law, just as it is inconceivable for metaphysics, since it is capable of destroying every determinate entity, even a god, even God. This is not a Heraclitean time, since it is not the eternal law of becoming, but rather the eternal and lawless possible becoming of every law. It is a Time capable of destroying even becoming itself by bringing forth, perhaps forever, fixity, stasis, and death.”",Quentin Meillassoux,After Finitude: An Essay on the Necessity of Contingency
"“Whether divine or human, it is precisely the imagination that fashions and recognizes the universe as meaningful, abiding, and valuable, that is to say, as real.”",William K. Mahony,The Artful Universe
"“The argument that coming into existence is always a harm can be summarized as follows: Both good and bad things happen only to those who exist. However, there is a crucial asymmetry between the good and the bad things. The absence of bad things, such as pain, is good even if there is nobody to enjoy that good, whereas the absence of good things, such as pleasure, is bad only if there is somebody who is deprived of these good things. The implication of this is that the avoidance of the bad by never existing is a real advantage over existence, whereas the loss of certain goods by not existing is not a real disadvantage over never existing.”",David Benatar,Better Never to Have Been: The Harm of Coming into Existence
“I wanted that future officer to weigh decisions with a supple mind and to be comfortable with nuance and uncertainty. ”,Craig M. Mullaney,The Unforgiving Minute: A Soldier's Education
“Those who wish to market their good deeds must do well to place their bad deeds on the shelve too.”,Zain Abdul Nassir,
"“All these years of thinking, ending up like this: In front of all this beauty, understanding nothing.”",Bruce Cockburn,
"“The Chicago historian Studs Terkel asked Bob Dylan in the sixties about how he went about writing a song and trying to outdo himself, or at least being as good as the last song he wrote, and his response was pretty damn perfect. “I’m content with the same old piece of wood,” he said. “I just want to find another place to pound a nail . . . Music, my writing, is something special, not sacred.” If the songs Bob Dylan wrote aren’t sacred, then nobody’s songs are sacred. Nobody’s. No one has ever laid on their deathbed thinking, “Thank god I didn’t make that song. Thank god I didn’t make that piece of art. Thank god I avoided the embarrassment of putting a bad poem into the world.” Nobody reaches the end of their life and regrets even a single moment of creating something, no matter how shitty or unappreciated that something might have been. I’m writing this just weeks after returning from Belleville, where I sat next to my dad’s bed in my childhood house and watched him die. I can guarantee you that in the final moments of his life, he wasn’t kicking himself for all those times when he dared to make a fool of himself by singing too loud.”",Jeff Tweedy,"Let's Go (So We Can Get Back): A Memoir of Recording and Discording with Wilco, Etc."
